Row,Diameter Change,Pulsatility Index,Resistence Index,PCT Diameter Change,Mean Velocity
M36-R,0.0867692307692309,1.68629911633113,0.737816498774843,0.154801513777743,231.948185722557
M36-L,0.131076923076923,1.68984430070504,0.721275018532246,0.257603799185889,166.208199929579
M35-L,0.100153846153846,1.76951088273019,0.744154976619906,0.195826184784137,181.726494845361
M35-R,0.0904615384615385,1.64501174380042,0.732064421669107,0.188887280366563,175.475825569216
M34-R,0.0793846153846154,1.97345411693961,0.765731166912851,0.194564133150972,217.325789611925
M34-L,0.0853846153846154,2.45618105668836,0.815461346633416,0.18160928060487,176.230334106979
M33-R,0.104769230769231,1.87552929229003,0.78584779706275,0.226918823002186,226.47627437442
M33-L,0.109846153846154,1.95650503176447,0.774946921443737,0.215556881647155,230.792348816681
M32-L,0.131076923076923,2.34770458413315,0.810630171865054,0.250760007045362,156.581986467609
M32-R,0.106153846153846,2.42460654771163,0.811539774667122,0.212985881864164,151.602873437157
M31-L,0.116307692307692,2.05540921100289,0.784464475079533,0.299958163062633,207.779629799398
M31-R,0.127384615384615,2.67168195818976,0.835718071012189,0.250733913246249,170.385735266858
M30-R,0.0886153846153846,2.0042345996349,0.764895330112721,0.1726464795523,205.235557883542
M29-R,0.0803076923076924,1.70526850616138,0.752678571428571,0.160906354151436,142.699056076121
M28-R,0.102923076923077,2.56087535918576,0.837894736842105,0.227129611165609,179.448949010424
M27-R,0.0867692307692307,1.90436206408499,0.766109130792432,0.185131267731542,211.754760065818
M26-R,0.118153846153846,2.255010474687,0.807109252483011,0.158790826963169,197.644634759999
M26-L,0.0904615384615385,0,0,0.190672686631577,0
M25-R,0.0992307692307692,2.71377910702841,0.844017094017094,0.161119944694089,168.061753090219
M18-R,0.0756923076923078,1.09385699560234,0.645750595710882,0.148298475301046,245.959326473711
